,source,author,title,description,url,urlToImage,publishedAt,content,id,Polarity,Subjectivity,Score
1,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Reuters,Glittering gold gives markets some Christmas cheer,"MSCI's broadest index of Asia-Pacific shares outside Japan rose 0.6%. Japan's Nikkei was down 0.2%, paring earlier losses of around 1%. Gold miners in Australia led a 1.3% jump for the S&P/ASX 200.",https://economictimes.indiatimes.com/markets/stocks/news/glittering-gold-gives-markets-some-christmas-cheer/articleshow/96386683.cms,"https://img.etimg.com/thumb/msid-96386750,width-1070,height-580,imgsize-40130,overlay-etmarkets/photo.jpg",2022-12-21T03:19:42Z,"SINGAPORE: Asian stocks were trying get into a festive mood on Wednesday, and managed small gains with even Japan's Nikkei lifting off a two-month low it hit following the Bank of Japan's surprise de… [+1969 chars]",1,0.1111111111111111,0.44722222222222224,neutral
2,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,UK PM Rishi Sunak uses troops to tackle Christmas strikes,"There is a wave of winter strikes planned over the course of the next few weeks, including railway workers, healthcare workers, and border security staff, who are all demanding better pay and working conditions. Writing in ""The Sun on Sunday"", Sunak said the …",https://economictimes.indiatimes.com/news/international/world-news/uk-pm-rishi-sunak-uses-troops-to-tackle-christmas-strikes/articleshow/96325914.cms,"https://img.etimg.com/thumb/msid-96325937,width-1070,height-580,imgsize-31376,overlay-economictimes/photo.jpg",2022-12-18T19:23:17Z,"British Prime Minister Rishi Sunak on Sunday hit out at trade unions for causing misery for millions with ""particularly cruelly timed"" strikes over the Christmas holiday period as the government anno… [+2606 chars]",2,0.09999999999999999,0.19999999999999998,neutral
3,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",TNN,Slowing US inflation raises hopes for Santa Claus rally,"The rally in the global markets could spill over into India as mutual funds, flush with money from retail investors through the SIP route, remain net buyers.",https://economictimes.indiatimes.com/markets/stocks/news/slowing-us-inflation-raises-hopes-for-santa-claus-rally/articleshow/96212560.cms,"https://img.etimg.com/thumb/msid-96209413,width-1070,height-580,imgsize-86216,overlay-etmarkets/photo.jpg",2022-12-14T02:21:19Z,"MUMBAI: An inflation reading in the US that came in below analysts estimates, has now raised the hope of a Santa Claus rally around the globe, including in India.
On Tuesday evening, the US governme… [+2252 chars]",3,0.0,0.0,neutral
4,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET CONTRIBUTORS,Rising Covid cases is polishing gold’s appeal as safe haven asset,"The economic data during the week from the US remained a mixed bag with the Conference Board’s one-year inflation expectation showing an ease down in inflation from 7.1% to 6.7%, and consumer confidence index spiked to eight months high of 108.3 in December f…",https://economictimes.indiatimes.com/markets/commodities/news/rising-covid-cases-is-polishing-golds-appeal-as-safe-haven-asset/articleshow/96477616.cms,"https://img.etimg.com/thumb/msid-96477641,width-1070,height-580,imgsize-67678,overlay-etmarkets/photo.jpg",2022-12-24T10:17:12Z,"Gold prices reached a six-month high of $1833 during the week as the number of Covid cases surged across countries, triggering a safe haven appeal for the metal. At the time of writing, gold prices h… [+1978 chars]",4,0.05111111111111111,0.31972222222222224,positive
5,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"FPIs invest Rs 10,555 cr in equities in Dec so far on moderating US inflation","Further, capital flows will be dictated by the global developments, particularly the trends in the dollar index and US bond yields. This, in turn, will be determined by the trajectory of US inflation, said V K Vijayakumar, Chief Investment Strategist at Geoji…",https://economictimes.indiatimes.com/markets/stocks/news/fpis-invest-rs-10555-cr-in-equities-in-dec-so-far-on-moderating-us-inflation/articleshow/96318125.cms,"https://img.etimg.com/thumb/msid-96318147,width-1070,height-580,imgsize-13508,overlay-etmarkets/photo.jpg",2022-12-18T08:38:50Z,"After investing over Rs 36,200 crore last month, foreign investors continued their positive momentum and have injected a net Rs 10,555 crore in Indian equities so far in December amid stabilisation i… [+2749 chars]",5,0.05555555555555555,0.27777777777777773,positive
6,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Kshitij Anand,ETMarkets Smart Talk: Govt may try to make new personal tax regime more lucrative vs older one in Budget 2023,"On the domestic front, government expenditure is likely to pick up in 2023 and the Nifty earnings are expected to grow at 15% which should keep the market resilience intact amid global macro headwinds.",https://economictimes.indiatimes.com/markets/expert-view/etmarkets-smart-talk-govt-may-try-to-make-new-personal-tax-regime-more-lucrative-vs-older-one-in-budget-2023/articleshow/96442234.cms,"https://img.etimg.com/thumb/msid-96442247,width-1070,height-580,imgsize-12634,overlay-etmarkets/photo.jpg",2022-12-23T03:39:35Z,"Though efforts will be there to propel the poor and farmers which are under stress of higher inflation. The government may try to make the new personal tax regime more lucrative vis a vis older one, … [+5586 chars]",6,-0.025,0.375,neutral
7,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ET Spotlight Special,Garena Free Fire MAX redeem codes December 23: Claim your rewards - Economic Times,"<ol><li>Garena Free Fire MAX redeem codes December 23: Claim your rewards  Economic Times
</li><li>Garena Free Fire MAX Redeem Codes for December 23: Win rewards - from gloo walls to special bundles  HT Tech
</li><li>Free Fire redeem codes today (23 Decembe…",https://economictimes.indiatimes.com/news/new-updates/garena-free-fire-max-redeem-codes-december-23-claim-your-rewards/articleshow/96451571.cms,"https://img.etimg.com/thumb/msid-96451633,width-1070,height-580,imgsize-80016,overlay-economictimes/photo.jpg",2022-12-23T09:34:00Z,"Garena Free Fire MAX has just released new redeem codes for 23 December, and gamers can get hold of them right away from here or directly from the Garena website created exclusively for codes. The co… [+1939 chars]",7,0.4261904761904762,0.5952380952380952,positive
8,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",IANS,"Centre defends winter session dates, says not ignoring Christmas","India News: NEW DELHI: A controversy has erupted after the dates for the winter session of Parliament were announced by the Centre, with the Opposition charging t.",https://timesofindia.indiatimes.com/india/centre-defends-winter-session-dates-says-not-ignoring-christmas/articleshow/96029618.cms,"https://static.toiimg.com/thumb/msid-96029601,width-1070,height-580,imgsize-51390,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2022-12-06T10:58:51Z,,8,0.13636363636363635,0.45454545454545453,neutral
9,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",,Celebrating Christmas,"Christmas should be so used that it may materially, mentally and spiritually give us at least a new impetus to start in the Christ Path of Truth with the beginning of the new year.",https://economictimes.indiatimes.com/opinion/speaking-tree/celebrating-christmas/articleshow/96464023.cms,https://img.etimg.com/photo/msid-91660147/speaking-tree.jpg,2022-12-23T18:00:22Z,"Let us learn how to make our celebration of Christmas a real commemoration of the holy life of Christ, to make it a spiritual and uplifting experience. I saw a shotgun adorning a Christmas tree, and … [+1555 chars]",9,-0.025454545454545462,0.3284848484848485,neutral
10,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",,"Ho-ho-horror, lovely chill that Christmas brings","Instead of joining the joyous mob and making a BFF out of BF.7, there is the December joy of scaring oneself safely at home",https://economictimes.indiatimes.com/opinion/et-commentary/ho-ho-horror-lovely-chill-that-christmas-brings/articleshow/96482390.cms,"https://img.etimg.com/thumb/msid-96482577,width-1070,height-580,imgsize-1825666,overlay-economictimes/photo.jpg",2022-12-24T14:47:43Z,"Christmas reminds me of three things: ghost stories, horror movies, and Markandey Katju. The former Supreme Court judge and our very own Ebenezer Scrooge tweeted last week how he had stepped out of h… [+4029 chars]",10,0.65,0.35,positive
